key scientificName decimalLatitude decimalLongitude issues
3384666979 Polyommatus_coridon_(Poda_1761) 51.842895 -2.106605 NA
3384669114 Polyommatus_coridon_(Poda_1761) 51.313815 -0.55995 cdround
3398693840 Polyommatus_coridon_(Poda_1761) 50.664097 -1.448387 cdround
3398697864 Polyommatus_coridon_(Poda_1761) 50.661114 -1.576822 cdround
3398712866 Polyommatus_coridon_(Poda_1761) 50.667667 -1.534611 cdround
3398727853 Polyommatus_coridon_(Poda_1761) 50.663686 -1.562162 cdround
3407998526 Polyommatus_coridon_(Poda_1761) 50.663946 -1.572939 cdround
3408043515 Polyommatus_coridon_(Poda_1761) 50.976891 -1.938495 cdround
3355562362 Polyommatus_coridon_(Poda_1761) 50.986829 -1.084186 cdround
3398729850 Polyommatus_coridon_(Poda_1761) 51.690081 -0.945526 cdround
3399134842 Polyommatus_coridon_(Poda_1761) 51.408019 -2.234864 cdround
3399181824 Polyommatus_coridon_(Poda_1761) 51.667369 -0.94849 cdround
2912346771 Polyommatus_coridon_(Poda_1761) 51.908283 -0.409622 fpwktinv
2912993728 Polyommatus_coridon_(Poda_1761) 52.237004 0.363682 fpwktinv
2917942641 Polyommatus_coridon_(Poda_1761) 51.724162 -0.807004 fpwktinv
2818573138 Polyommatus_coridon_(Poda_1761) 51.667174 -0.946106 NA
2818688162 Polyommatus_coridon_(Poda_1761) 51.736794 -0.803622 cdround
2818713187 Polyommatus_coridon_(Poda_1761) 51.736786 -0.803616 cdround
2818737223 Polyommatus_coridon_(Poda_1761) 51.73679 -0.803618 cdround
2823070035 Polyommatus_coridon_(Poda_1761) 51.862342 -0.549578 cdround
2823197795 Polyommatus_coridon_(Poda_1761) 52.167726 0.257048 cdround
2823202320 Polyommatus_coridon_(Poda_1761) 50.855305 -0.240702 cdround
2823388344 Polyommatus_coridon_(Poda_1761) 51.990991 -0.167386 cdround
2826128121 Polyommatus_coridon_(Poda_1761) 50.822039 0.185495 cdround
2826176106 Polyommatus_coridon_(Poda_1761) 50.971409 -1.944643 cdround
2826199136 Polyommatus_coridon_(Poda_1761) 51.320936 0.196304 cdround
2826307762 Polyommatus_coridon_(Poda_1761) 51.987977 -0.185246 cdround
2826394118 Polyommatus_coridon_(Poda_1761) 50.748545 0.261268 cdround
2826440310 Polyommatus_coridon_(Poda_1761) 52.233429 0.35841 cdround
2826448008 Polyommatus_coridon_(Poda_1761) 50.884061 -0.207055 cdround
2826451048 Polyommatus_coridon_(Poda_1761) 50.884778 -0.205106 cdround
2826458736 Polyommatus_coridon_(Poda_1761) 50.976047 -1.945122 cdround
2826487019 Polyommatus_coridon_(Poda_1761) 50.885996 -0.203303 cdround
2850553859 Polyommatus_coridon_(Poda_1761) 50.979283 -1.950113 cdround
2850570852 Polyommatus_coridon_(Poda_1761) 50.663155 -1.577832 cdround
2850937779 Polyommatus_coridon_(Poda_1761) 50.828083 -2.053199 cdround
2850951765 Polyommatus_coridon_(Poda_1761) 50.745412 0.197028 cdround
2850958808 Polyommatus_coridon_(Poda_1761) 51.408407 -2.233707 cdround
